None
Drop PPS: [10020], Throughput: 3818048.12 Mbps, Avg Latency: 664324503.25 us
Drop PPS: [10021], Throughput: 3621522.89 Mbps, Avg Latency: 994905941.34 us
Drop PPS: [10105], Throughput: 3280460.92 Mbps, Avg Latency: 5033089790.31 us
Drop PPS: [10141], Throughput: 1117437.14 Mbps, Avg Latency: 2194150897.76 us
Drop PPS: [10422], Throughput: 958622.67 Mbps, Avg Latency: 1894051887.74 us
Drop PPS: [10290], Throughput: 12537698.28 Mbps, Avg Latency: 3275128.66 us
Drop PPS: [10440], Throughput: 173010.40 Mbps, Avg Latency: 3286779.85 us
Drop PPS: [10265], Throughput: 170097.00 Mbps, Avg Latency: 3851120.78 us
Drop PPS: [10252], Throughput: 5167.76 Mbps, Avg Latency: 3371584.26 us
Drop PPS: [10242], Throughput: 4187494.92 Mbps, Avg Latency: 4631984228.01 us
Drop PPS: [10103], Throughput: 3864567.33 Mbps, Avg Latency: 7390476.58 us
Drop PPS: [10258], Throughput: 2059.64 Mbps, Avg Latency: 5959563.14 us
Drop PPS: [10166], Throughput: 336164.41 Mbps, Avg Latency: 111386453.95 us
Drop PPS: [10240], Throughput: 250108.36 Mbps, Avg Latency: 285238782.84 us
Drop PPS: [10221], Throughput: 7322.81 Mbps, Avg Latency: 310154168.17 us
Drop PPS: [9959], Throughput: 134814.79 Mbps, Avg Latency: 158851298.54 us
Drop PPS: [9208], Throughput: 756723.12 Mbps, Avg Latency: 3274140.84 us
Drop PPS: [10196], Throughput: 704.03 Mbps, Avg Latency: 3271266.93 us
Drop PPS: [10304], Throughput: 22742.41 Mbps, Avg Latency: 108142155.71 us
Drop PPS: [10199], Throughput: 21429.89 Mbps, Avg Latency: 58188412.06 us
Drop PPS: [10448], Throughput: 825932.35 Mbps, Avg Latency: 122216369.07 us
Drop PPS: [10210], Throughput: 917266.92 Mbps, Avg Latency: 177975082.23 us
Drop PPS: [10195], Throughput: 1315587.11 Mbps, Avg Latency: 445763675.54 us
Drop PPS: [10196], Throughput: 1073165.06 Mbps, Avg Latency: 649893191.76 us
Drop PPS: [10201], Throughput: 2206871.74 Mbps, Avg Latency: 902806980.21 us
Drop PPS: [10198], Throughput: 2414769.48 Mbps, Avg Latency: 1157616467.27 us
Drop PPS: [10190], Throughput: 1177004.61 Mbps, Avg Latency: 1443224108.51 us
Drop PPS: [10190], Throughput: 750692.33 Mbps, Avg Latency: 2124643433.23 us
Drop PPS: [10195], Throughput: 838848.74 Mbps, Avg Latency: 2371629128.31 us
Drop PPS: [10351], Throughput: 1521547.37 Mbps, Avg Latency: 2400518224.52 us
Drop PPS: [10187], Throughput: 2830357.14 Mbps, Avg Latency: 2847904376.69 us
Drop PPS: [10195], Throughput: 1825515.66 Mbps, Avg Latency: 2871534931.92 us
Drop PPS: [10185], Throughput: 342263.48 Mbps, Avg Latency: 3260717974.40 us
Drop PPS: [10191], Throughput: 800681.43 Mbps, Avg Latency: 3686510063.11 us
Drop PPS: [10201], Throughput: 1331232.80 Mbps, Avg Latency: 3327847933.78 us
Drop PPS: [10229], Throughput: 1017481.41 Mbps, Avg Latency: 2931706109.28 us
Drop PPS: [10204], Throughput: 2052765.16 Mbps, Avg Latency: 3010817969.89 us
Drop PPS: [10220], Throughput: 1136228.17 Mbps, Avg Latency: 3129027632.09 us
Drop PPS: [10405], Throughput: 1341753.32 Mbps, Avg Latency: 3414813701.94 us
Drop PPS: [10284], Throughput: 569584.09 Mbps, Avg Latency: 3852692575.66 us
Drop PPS: [10231], Throughput: 5918273.51 Mbps, Avg Latency: 3880422889.96 us
Drop PPS: [10220], Throughput: 1401925.54 Mbps, Avg Latency: 3082897073.74 us
Drop PPS: [10308], Throughput: 4149396.93 Mbps, Avg Latency: 1217807256.92 us
Drop PPS: [10244], Throughput: 600465.13 Mbps, Avg Latency: 820054440.91 us
Drop PPS: [10210], Throughput: 5219012.22 Mbps, Avg Latency: 873542048.78 us
Drop PPS: [10222], Throughput: 5146370.35 Mbps, Avg Latency: 990559456.52 us
Drop PPS: [10363], Throughput: 3929365.27 Mbps, Avg Latency: 1123095607.89 us
Drop PPS: [10243], Throughput: 1225006.14 Mbps, Avg Latency: 1723420525.82 us
Drop PPS: [10272], Throughput: 3244796.65 Mbps, Avg Latency: 1616003722.80 us
Drop PPS: [10213], Throughput: 15882215.14 Mbps, Avg Latency: 1009412005.29 us
Drop PPS: [10281], Throughput: 2546253.04 Mbps, Avg Latency: 764840179.05 us
Drop PPS: [10199], Throughput: 1455094.18 Mbps, Avg Latency: 571934786.64 us
Drop PPS: [10277], Throughput: 231025.49 Mbps, Avg Latency: 445819817.65 us
Drop PPS: [10306], Throughput: 312666.65 Mbps, Avg Latency: 499975719.76 us
Drop PPS: [10230], Throughput: 57360.70 Mbps, Avg Latency: 323288692.19 us
Drop PPS: [10462], Throughput: 171365.98 Mbps, Avg Latency: 326700419.31 us
Drop PPS: [10193], Throughput: 139940.07 Mbps, Avg Latency: 364863254.17 us
Drop PPS: [10198], Throughput: 270288.31 Mbps, Avg Latency: 394376613.82 us
Drop PPS: [10199], Throughput: 399095.10 Mbps, Avg Latency: 358845113.44 us
Drop PPS: [10197], Throughput: 55494.41 Mbps, Avg Latency: 306014986.10 us
Drop PPS: [10200], Throughput: 375663.24 Mbps, Avg Latency: 391059103.76 us
Drop PPS: [10255], Throughput: 112992.58 Mbps, Avg Latency: 310391371.26 us
Drop PPS: [10210], Throughput: 76249.71 Mbps, Avg Latency: 261497728.52 us
Drop PPS: [10206], Throughput: 810053.16 Mbps, Avg Latency: 354510483.54 us
Drop PPS: [10191], Throughput: 1442568.61 Mbps, Avg Latency: 381160624.07 us
Drop PPS: [1344], Throughput: 365546.06 Mbps, Avg Latency: 376943400.29 us
Drop PPS: [], Throughput: 0.00 Mbps, Avg Latency: 376943400.29 us
Drop PPS: [], Throughput: 0.00 Mbps, Avg Latency: 376943400.29 us
Drop PPS: [], Throughput: 0.00 Mbps, Avg Latency: 376943400.29 us
Drop PPS: [], Throughput: 0.00 Mbps, Avg Latency: 376943400.29 us
Drop PPS: [], Throughput: 0.00 Mbps, Avg Latency: 376943400.29 us
Drop PPS: [], Throughput: 0.00 Mbps, Avg Latency: 376943400.29 us
Drop PPS: [], Throughput: 0.00 Mbps, Avg Latency: 376943400.29 us
Drop PPS: [], Throughput: 0.00 Mbps, Avg Latency: 376943400.29 us
Drop PPS: [], Throughput: 0.00 Mbps, Avg Latency: 376943400.29 us
Drop PPS: [], Throughput: 0.00 Mbps, Avg Latency: 376943400.29 us
Drop PPS: [], Throughput: 0.00 Mbps, Avg Latency: 376943400.29 us
Drop PPS: [], Throughput: 0.00 Mbps, Avg Latency: 376943400.29 us
Drop PPS: [], Throughput: 0.00 Mbps, Avg Latency: 376943400.29 us
Drop PPS: [], Throughput: 0.00 Mbps, Avg Latency: 376943400.29 us
Drop PPS: [], Throughput: 0.00 Mbps, Avg Latency: 376943400.29 us
Drop PPS: [], Throughput: 0.00 Mbps, Avg Latency: 376943400.29 us
Drop PPS: [], Throughput: 0.00 Mbps, Avg Latency: 376943400.29 us
Drop PPS: [], Throughput: 0.00 Mbps, Avg Latency: 376943400.29 us
Drop PPS: [], Throughput: 0.00 Mbps, Avg Latency: 376943400.29 us
Drop PPS: [], Throughput: 0.00 Mbps, Avg Latency: 376943400.29 us
Drop PPS: [], Throughput: 0.00 Mbps, Avg Latency: 376943400.29 us
Drop PPS: [], Throughput: 0.00 Mbps, Avg Latency: 376943400.29 us
Drop PPS: [], Throughput: 0.00 Mbps, Avg Latency: 376943400.29 us
