None
Drop PPS: [30275], Throughput: 4137252.21 Mbps, Avg Latency: 137855237.60 us
Drop PPS: [30640], Throughput: 8095017.73 Mbps, Avg Latency: 298027475.57 us
Drop PPS: [30548], Throughput: 11007476.70 Mbps, Avg Latency: 437704022.24 us
Drop PPS: [30568], Throughput: 8663768.88 Mbps, Avg Latency: 1085056979.30 us
Drop PPS: [31797], Throughput: 31112174.91 Mbps, Avg Latency: 1089511.18 us
Drop PPS: [30517], Throughput: 2845347.51 Mbps, Avg Latency: 1145184357.32 us
Drop PPS: [30338], Throughput: 2645186.51 Mbps, Avg Latency: 23433083.55 us
Drop PPS: [30506], Throughput: 276724.43 Mbps, Avg Latency: 76996337.48 us
Drop PPS: [29402], Throughput: 673408.79 Mbps, Avg Latency: 15892036.44 us
Drop PPS: [30601], Throughput: 1537396.12 Mbps, Avg Latency: 61908716.04 us
Drop PPS: [30580], Throughput: 4461224.17 Mbps, Avg Latency: 262356936.52 us
Drop PPS: [30541], Throughput: 4401617.96 Mbps, Avg Latency: 613440221.89 us
Drop PPS: [30569], Throughput: 5950133.49 Mbps, Avg Latency: 720512092.54 us
Drop PPS: [30544], Throughput: 1680335.79 Mbps, Avg Latency: 966743473.89 us
Drop PPS: [31349], Throughput: 320055.53 Mbps, Avg Latency: 774672100.09 us
Drop PPS: [30549], Throughput: 3054063.87 Mbps, Avg Latency: 890198228.34 us
Drop PPS: [30553], Throughput: 11294250.93 Mbps, Avg Latency: 428075089.78 us
Drop PPS: [30568], Throughput: 9574482.17 Mbps, Avg Latency: 234569409.18 us
Drop PPS: [30567], Throughput: 5355057.88 Mbps, Avg Latency: 423995170.21 us
Drop PPS: [30578], Throughput: 20267006.95 Mbps, Avg Latency: 164413935.13 us
Drop PPS: [30572], Throughput: 1930682.84 Mbps, Avg Latency: 97748060.21 us
Drop PPS: [30570], Throughput: 519936.46 Mbps, Avg Latency: 110376776.78 us
Drop PPS: [30539], Throughput: 107449.44 Mbps, Avg Latency: 100472366.67 us
Drop PPS: [30559], Throughput: 1119892.68 Mbps, Avg Latency: 85663743.94 us
